x, y, z
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
-1.5,1.5,0
