x,y,z
161,61,0
161,61,0
161,61,0
161,61,0
161,61,15
161,61,15
161,61,15
161,61,15
161,61,30
161,61,30
161,61,30
161,61,30
161,61,45
161,61,45
161,61,45
161,61,45
